Sample_ID	Site	Depth	Ecosite
ASCC306_8_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC307_125_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC308_64_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC309_26_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC31_T4B_5_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC310_122_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC311_103_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC312_27_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC313_55_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC314_151_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC315_75_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC316_114_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC317_101_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC318_162_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC319_37_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC32_C3_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC320_32_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC321_62_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC322_13_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC323_125_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC324_112_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC325_84_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC326_57_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC327_13_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC328_168_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC329_85_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC33_T2C_7_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC330_16_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC331_5_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC332_27_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC333_40_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC334_75_0823_SF_1C_5	SF	0_5cm	SF_5
ASCC336_40_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC337_43_0823_SF_1C_15	SF	5_15cm	SF_15
ASCC35_T4C_6_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC37_T1B_5_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC38_T1B_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC39_T3A_5_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC4_T2B_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC40_T3A_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC41_TC3_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC42_T3C_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC43_T1C_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC44_C4_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC45_T3B_2_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC46_C4_6_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC47_T3C_5_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC48_T4A_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC49_T4A_3_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC5_C2_2_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC50_C3_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC51_T2B_3_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC52_T4A_6_0923_SJ_1C_15	SJ	5_15cm	SJ_15
