samples	Site	Depth
ASCC31_T4B_5_0923_SJ_1C_5	SJ	0_5cm
ASCC310_122_0823_SF_1C_15	SF	5_15cm
ASCC311_103_0823_SF_1C_15	SF	5_15cm
ASCC312_27_0823_SF_1C_5	SF	0_5cm
ASCC313_55_0823_SF_1C_15	SF	5_15cm
ASCC314_151_0823_SF_1C_15	SF	5_15cm
ASCC315_75_0823_SF_1C_15	SF	5_15cm
ASCC316_114_0823_SF_1C_5	SF	0_5cm
ASCC317_101_0823_SF_1C_15	SF	5_15cm
ASCC318_162_0823_SF_1C_15	SF	5_15cm
ASCC319_37_0823_SF_1C_5	SF	0_5cm
ASCC32_C3_5_0923_SJ_1C_15	SJ	5_15cm
ASCC320_32_0823_SF_1C_5	SF	0_5cm
ASCC321_62_0823_SF_1C_15	SF	5_15cm
ASCC322_13_0823_SF_1C_5	SF	0_5cm
ASCC323_125_0823_SF_1C_15	SF	5_15cm
ASCC324_112_0823_SF_1C_15	SF	5_15cm
ASCC325_84_0823_SF_1C_5	SF	0_5cm
ASCC326_57_0823_SF_1C_15	SF	5_15cm
ASCC328_168_0823_SF_1C_5	SF	0_5cm
ASCC329_85_0823_SF_1C_5	SF	0_5cm
ASCC33_T2C_7_0923_SJ_1C_5	SJ	0_5cm
ASCC330_16_0823_SF_1C_5	SF	0_5cm
ASCC331_5_0823_SF_1C_5	SF	0_5cm
ASCC332_27_0823_SF_1C_15	SF	5_15cm
ASCC333_40_0823_SF_1C_5	SF	0_5cm
ASCC334_75_0823_SF_1C_5	SF	0_5cm
ASCC336_40_0823_SF_1C_15	SF	5_15cm
ASCC337_43_0823_SF_1C_15	SF	5_15cm
ASCC35_T4C_6_0923_SJ_1C_5	SJ	0_5cm
ASCC36_T2A_4_0923_SJ_1C_5	SJ	0_5cm
ASCC37_T1B_5_0923_SJ_1C_5	SJ	0_5cm
ASCC38_T1B_5_0923_SJ_1C_15	SJ	5_15cm
ASCC39_T3A_5_0923_SJ_1C_5	SJ	0_5cm
ASCC4_T2B_4_0923_SJ_1C_15	SJ	5_15cm
ASCC40_T3A_4_0923_SJ_1C_15	SJ	5_15cm
ASCC41_TC3_5_0923_SJ_1C_15	SJ	5_15cm
ASCC42_T3C_3_0923_SJ_1C_15	SJ	5_15cm
ASCC43_T1C_3_0923_SJ_1C_15	SJ	5_15cm
ASCC44_C4_3_0923_SJ_1C_15	SJ	5_15cm
ASCC45_T3B_2_0923_SJ_1C_5	SJ	0_5cm
ASCC46_C4_6_0923_SJ_1C_5	SJ	0_5cm
ASCC47_T3C_5_0923_SJ_1C_5	SJ	0_5cm
ASCC48_T4A_4_0923_SJ_1C_15	SJ	5_15cm
ASCC49_T4A_3_0923_SJ_1C_5	SJ	0_5cm
ASCC5_C2_2_0923_SJ_1C_15	SJ	5_15cm
ASCC50_C3_4_0923_SJ_1C_15	SJ	5_15cm
ASCC51_T2B_3_0923_SJ_1C_5	SJ	0_5cm
ASCC52_T4A_6_0923_SJ_1C_15	SJ	5_15cm
ASCC53_T3B_5_0923_SJ_1C_5	SJ	0_5cm
ASCC56_C2_2_0923_SJ_1C_5	SJ	0_5cm
ASCC57_T1C_6_0923_SJ_1C_5	SJ	0_5cm
ASCC58_T1C_4_0923_SJ_1C_15	SJ	5_15cm
ASCC59_T4C_6_0923_SJ_1C_15	SJ	5_15cm
ASCC6_T4C_6_0923_SJ_1C_5	SJ	0_5cm
ASCC60_T4C_4_0923_SJ_1C_15	SJ	5_15cm
ASCC61_T4C_4_0923_SJ_1C_5	SJ	0_5cm
ASCC62_T3C_4_0923_SJ_1C_15	SJ	5_15cm
ASCC63_T1C_3_0923_SJ_1C_5	SJ	0_5cm
ASCC64_T2A_3_0923_SJ_1C_15	SJ	5_15cm
ASCC65_T2A_5_0923_SJ_1C_15	SJ	5_15cm
ASCC66_T3B_2_0923_SJ_1C_15	SJ	5_15cm
ASCC68_T4C_5_0923_SJ_1C_15	SJ	5_15cm
ASCC69_C2_5_0923_SJ_1C_5	SJ	0_5cm
ASCC7_T1C_4_0923_SJ_1C_5	SJ	0_5cm
ASCC70_T4B_4_0923_SJ_1C_15	SJ	5_15cm
ASCC71_T1B_3_0923_SJ_1C_15	SJ	5_15cm
ASCC72_T4C_5_0923_SJ_1C_5	SJ	0_5cm
ASCC73_T2C_3_0923_SJ_1C_5	SJ	0_5cm
ASCC74_C1_4_0923_SJ_1C_5	SJ	0_5cm
ASCC75_T2B_6_0923_SJ_1C_5	SJ	0_5cm
ASCC76_C1_2_0923_SJ_1C_15	SJ	5_15cm
ASCC78_C4_3_0923_SJ_1C_5	SJ	0_5cm
ASCC79_T2A_3_0923_SJ_1C_5	SJ	0_5cm
ASCC8_C3_4_0923_SJ_1C_5	SJ	0_5cm
ASCC80_T4B_4_0923_SJ_1C_5	SJ	0_5cm
ASCC81_T3A_5_0923_SJ_1C_15	SJ	5_15cm
ASCC82_T2C_5_0923_SJ_1C_15	SJ	5_15cm
ASCC83_T4B_4_0923_SJ_1C_5	SJ	0_5cm
ASCC84_C1_4_0923_SJ_1C_15	SJ	5_15cm
ASCC85_C3_3_0923_SJ_1C_15	SJ	5_15cm
ASCC86_T1A_3_0923_SJ_1C_15	SJ	5_15cm
ASCC87_T4B_5_0923_SJ_1C_15	SJ	5_15cm
ASCC88_T1A_2_0923_SJ_1C_5	SJ	0_5cm
ASCC89_T2C_7_0923_SJ_1C_15	SJ	5_15cm
ASCC9_T2C_5_0923_SJ_1C_5	SJ	0_5cm
ASCC90_T1B_4_0923_SJ_1C_5	SJ	0_5cm
ASCC91_T1B_4_0923_SJ_1C_15	SJ	5_15cm
ASCC92_T1C_6_0923_SJ_1C_15	SJ	5_15cm
ASCC93_T4B_3_0923_SJ_1C_5	SJ	0_5cm
ASCC94_T4B_3_0923_SJ_1C_15	SJ	5_15cm
ASCC85_14_97_0923_TP_1C_15	TP	5_15cm
ASCC96_16_111_0923_TP_1C_5	TP	0_5cm
ASCC98_16_110_0923_TP_1C_15	TP	5_15cm
ASCC99_10_68_0923_TP_1C_15	TP	5_15cm
