,OTUID,Site.x,Depth.x,presence.x,Site.y,Depth.y,presence.y
1,2a52836cd32669f2fbe6c09e786a7f74,TP,15,0.903225806,NA,NA,NA
2,12410d7307e6e4dbdae768c5c47b748d,TP,15,0.580645161,NA,NA,NA
3,60f64fade87eb41933e5332783af8e22,TP,15,0.548387097,SJ,15,0.866666667
