,OTUID,Site,Depth,presence
1,d4d6a24cd0d289b396ca360df2ce852b,SF,5,0.75862069
2,12410d7307e6e4dbdae768c5c47b748d,SF,5,0.724137931
3,2a52836cd32669f2fbe6c09e786a7f74,SF,5,0.655172414
4,60f64fade87eb41933e5332783af8e22,SF,5,0.620689655
5,fe2dd956065512de81f8d17b9f33ef35,SF,5,0.551724138
6,b942939a6a47b69e02cfda4e900df054,SF,5,0.517241379
7,a2f68a959b643ec46fa34675bbe4d7a2,SF,5,0.482758621
8,e4365801cf6b3826cb07334e580e8d0d,SF,5,0.448275862
9,1b01fc7c768578ff6a81dda42f07a6cd,SF,5,0.413793103
10,34bc7128f110bafdf149dd9dc1d01ed8,SF,5,0.413793103
11,4c1fe9a2f2747380f52a6d094c093d11,SF,5,0.413793103
12,741566f993a379ff1b0d91286936e430,SF,5,0.413793103
13,504a89d8b914f3e29029e9b86a0cca08,SF,5,0.379310345
14,5532de25e61c58cbb16884aa250d23d6,SF,5,0.379310345
15,b593d2d0293b1803c12d12f16f7d31e4,SF,5,0.379310345
16,48264cca89184738b642586b677daf4e,SF,5,0.344827586
17,54d96f1d17d454af445451165c788ae8,SF,5,0.344827586
18,72ca0a899d71f7d9023e44474c260434,SF,5,0.344827586
19,9038eaddace005315f06a11e8208395a,SF,5,0.344827586
20,90bf5261e0dc9e32269e8295e03da293,SF,5,0.344827586
21,c7f78288b04c4f183449f3287f66e33f,SF,5,0.344827586
22,d7cf547a852b2e181f52e7188d26318b,SF,5,0.344827586
23,e7295cb1bcee5aecc048075989cd1e39,SF,5,0.344827586
24,271fc1d3b4cf2371b2757c07819f28ca,SF,5,0.310344828
25,3b1eea7de7dc1a5f62f3dab44bbbdcb4,SF,5,0.310344828
26,3b77b01e73c0fb718df5c82f5f039187,SF,5,0.310344828
27,6fbdd1c4efe2dff720c37ee8edc0394f,SF,5,0.310344828
28,d0667017b9b23c61160f472f77d9b814,SF,5,0.310344828
29,d27b07c3296662644178e00972cf0baa,SF,5,0.310344828
30,72ca0a899d71f7d9023e44474c260434,TP,5,0.933333333
31,1842b93d7b98f3df8bf1ff404d9b68e6,TP,5,0.866666667
32,449650c62a5a2e07020b60f3828b4a96,TP,5,0.866666667
33,9038eaddace005315f06a11e8208395a,TP,5,0.866666667
34,d0667017b9b23c61160f472f77d9b814,TP,5,0.866666667
35,2c7c9247a6941c48a5a1a1323d22e389,TP,5,0.833333333
36,43258d80332e0847f851dbe76c29c940,TP,5,0.8
37,2a52836cd32669f2fbe6c09e786a7f74,TP,5,0.766666667
38,600c14bbab2e89a35844eeeb19248a9d,TP,5,0.766666667
39,12410d7307e6e4dbdae768c5c47b748d,TP,5,0.6
40,2cc9f80b1d0954b02307e1119277a756,TP,5,0.6
41,6dbf5ec45785cfbe351ebb64718e0478,TP,5,0.533333333
42,60f64fade87eb41933e5332783af8e22,TP,5,0.5
43,697f868e0c4c2d4dc8aac7173b2956bf,TP,5,0.466666667
44,fe2dd956065512de81f8d17b9f33ef35,TP,5,0.466666667
45,30fd744cc47efba3711c94bc479afc04,TP,5,0.433333333
46,73efcba894b6e7fe1b0a8aca31037e75,TP,5,0.433333333
47,1b01fc7c768578ff6a81dda42f07a6cd,TP,5,0.4
48,4c1fe9a2f2747380f52a6d094c093d11,TP,5,0.4
49,b7f493d9ea0174a32872a5622d5a31ee,TP,5,0.4
50,2e162e4e342d2e194386151351ed8a42,TP,5,0.366666667
51,72c8401fff71a78b00b765b8085a3667,TP,5,0.366666667
52,a5b1630da4b1e5b9d1cd572028986d79,TP,5,0.366666667
53,a65ab1c5c0faea08741b287e8e9b06cb,TP,5,0.333333333
54,f668bb0e282e6cf158674f93677d748a,TP,5,0.333333333
55,678c9372b82708f68e88652ea5a89554,TP,5,0.3
56,6fbdd1c4efe2dff720c37ee8edc0394f,TP,5,0.3
57,b593d2d0293b1803c12d12f16f7d31e4,TP,5,0.3
58,72ca0a899d71f7d9023e44474c260434,SJ,5,0.88372093
59,60f64fade87eb41933e5332783af8e22,SJ,5,0.860465116
60,2be07a8d72925262126f2a02c52dddea,SJ,5,0.837209302
61,cc116080ed11666e003af169a31bf77b,SJ,5,0.837209302
62,b593d2d0293b1803c12d12f16f7d31e4,SJ,5,0.76744186
63,a65ab1c5c0faea08741b287e8e9b06cb,SJ,5,0.744186047
64,600c14bbab2e89a35844eeeb19248a9d,SJ,5,0.720930233
65,09b6b466c26a6ad4055737f2734a0eb1,SJ,5,0.651162791
66,daf3380c6379ff9ada580bfa3256c5c2,SJ,5,0.627906977
67,b7f493d9ea0174a32872a5622d5a31ee,SJ,5,0.604651163
68,0344b85e0ef02775090f148b0affb546,SJ,5,0.465116279
69,8ee69fea40362a20da724565d1d9be78,SJ,5,0.465116279
70,d8509c4abcc59265d1b581c4fdbd9716,SJ,5,0.441860465
71,a2f68a959b643ec46fa34675bbe4d7a2,SJ,5,0.418604651
72,094022a385ea523dc21a7a74f3a22bb8,SJ,5,0.395348837
73,1842b93d7b98f3df8bf1ff404d9b68e6,SJ,5,0.372093023
74,7cbd6d2acd585f6e317b323aedc6f888,SJ,5,0.372093023
75,e350f906ad7f8611cb843c38719dd078,SJ,5,0.372093023
76,283bb4bd7843bdf04b06a325bb58a879,SJ,5,0.325581395
77,a4b6e0085a8b2761b470491ad2bfad0c,SJ,5,0.325581395
78,449650c62a5a2e07020b60f3828b4a96,SJ,5,0.302325581
