OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	guild
fb4c01604abf2d850196196b7b853762	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_elongatula	Mortierella	Undefined
e317e372b6d255f49d88827864617336	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_finlandica	Hyaloscypha	Undefined
cb0692af73ac59e4e668674b45b772d1	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_sp	Cladophialophora	Undefined
acbe940e5129df60cb628bebbda82df8	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
9dd19c7609efbf414eddda437c6de665	Fungi	Ascomycota	Lecanoromycetes	Trapeliales	Trapeliaceae	Placynthiella		Placynthiella	na
5c6124abab03a2b4aad1384dc4cbdec5	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
3cca3b8e7189699cdb68d0862b24d9b8	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
157b06feeb84e4b3b20b21f7942de967	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila		Mortierellaceae	Undefined
90474c1c2a27bd2238bcc39654eaae80	Fungi							na	na
55f78a62afbad939000939e2494f8da5	Fungi	Ascomycota	Leotiomycetes					na	na
53e7a4d3018de79e84459ead0d57254f	Fungi							na	na
7e1599ae5ffe77fc21730c2760892512	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
cf2a6100c328af41bb310c700d63f182	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Humicolopsis	Humicolopsis_sp	Humicolopsis	Undefined
ac9df245a178c39f8115f5ed6ba955ed	Fungi							na	na
4979d0f3b19ee02f935390d2d9e122d1	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
e91c5bebda91dd4151924359cee8a1e4	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helotium	Helotium_sp	Helotiaceae	na
e2975b9eb7e601d6831b98a3fc687626	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella		Mortierella	Undefined
efcc349f0b30f20eaa6463b71546d316	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_terrestris	Thelephora	Ectomycorrhizal
5a979632ddaeedfb307f18cefe26dea0	Fungi	Ascomycota	Leotiomycetes	Leotiales	Mniaeciaceae	Epithamnolia	Epithamnolia_sp	Epithamnolia	na
a7d0fa05bbedb2c91a27d3720cb55490	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrophorus		Hygrophorus	Ectomycorrhizal
0845b121ef7db772b2129a7010836e5c	Fungi	Ascomycota	Sareomycetes	Sareales	unidentified	unidentified	Sareales_sp	na	na
dfa4f18d3d81b7fe16a2e0956bf5b610	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia		Mortierellaceae	Undefined
1d1b1dcdf26ff3e05492600f0eb77bc0	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae	Helicoon	Helicoon_myosuroides	Helicoon	Undefined
588cd115f998b554e8cb23b59703eb1d	Fungi	Ascomycota						na	na
059686ad0cd0e71846e4b0442db017e5	Fungi							na	na
bc17a23164382fd3379af3b56e8cda95	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia_pamirica	Tausonia	Undefined
cf34342a8121b84ee211d38cd1eb0665	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Helotium	Helotium_sp	Helotiaceae	na
734c8264985fbbaa6f4f45c55fb4d57a	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Microbotryomycetes_fam_Incertae_sedis	Curvibasidium		Curvibasidium	Undefined
a3018da5aa9081dec1a127a846b88f91	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Lipomycetaceae	Babjevia	Babjevia_anomala	Saccharomycetales	Undefined
69a81f0139121495ee14b28e33f737bc	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
dadbd1807a6bf5496986d549f6964b31	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila_humilis	Mortierellaceae	Undefined
dc5e478c817e6c794257620e40a59a00	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_finlandica	Hyaloscypha	Undefined
aa669827bec959ddc5ce21e6385b4f81	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_humicola	Cladophialophora	Undefined
10bfa40d91aac70e4f2f8986a259a3f6	Fungi	Basidiomycota	Microbotryomycetes	Leucosporidiales	Leucosporidiaceae	Mastigobasidium	Mastigobasidium_sp	Mastigobasidium	na
c0d39cd1ba5bfc3c93d07340a92a4e51	Fungi	Basidiomycota	Tremellomycetes					na	na
e8d996042ab62100926c2c1b19bd7f73	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia		Mortierellaceae	Undefined
5cbe72c76b86ad14cf568a9ac8a781a6	Fungi	Ascomycota	Leotiomycetes					na	na
4e1ac5258c67c76b7faf240fb87bd863	Fungi	Ascomycota	Leotiomycetes	Thelebolales				na	na
3041f060c48aaf5fbbed732120329dff	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_pseudozygospora	Mortierella	Undefined
4a97e91ad812bbefb8a78ce858ff19f9	Fungi	Basidiomycota	Microbotryomycetes	Microbotryomycetes_ord_Incertae_sedis	Chrysozymaceae	Fellozyma		Fellozyma	Undefined
09cfc385a6649095e7a5c40ff56422b4	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
9201a74f27ee24bd7dffcaf0e7477349	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Coleroa	Coleroa_circinans	Coleroa	Plant Pathogen
44ff510bfdc67f4d5f7a435db8097c27	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae			Mortierellaceae	Undefined
de58ec5c65b1df027a61fadae4474469	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscypha	Hyaloscypha_finlandica	Hyaloscypha	Undefined
dfcabdfb899a2e949936433699a58de7	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Typhulaceae	Typhula	Typhula_micans	Typhula	na
825b2d18eeefe32e67a53888ab6633b9	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia		Preussia	Undefined
0ef5311baa3c377f20da6d8a80a6bf80	Fungi	Basidiomycota	Microbotryomycetes	Kriegeriales	Kriegeriaceae	Phenoliferia	Phenoliferia_psychrophenolica	Phenoliferia	Undefined
2410eb8839dca2acebf20593e5471d1d	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Capronia_capucina	Capronia	Undefined
86f5b98bd0bbaa04c2040559c369639d	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
d429077889d8110579f72d2645d84172	Fungi							na	na
b1d26010e32fe1cdc33097c41ab13ff2	Fungi	Ascomycota	Leotiomycetes	Leotiales	Mniaeciaceae	Epithamnolia		Epithamnolia	na
6acbf5946f08e118305f04521b2929fa	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
f823ff258913b02259b177441b9fdd5b	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_aeria	Solicoccozyma	Undefined
4d0917e99b41bd0639503f5a7e5311a8	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
8a4642e5ee50aa73c91103315cbf2899	Fungi	Ascomycota	Leotiomycetes					na	na
44be5c00e260b3a6c85f0af4966584c9	Fungi	Basidiomycota	Microbotryomycetes	Kriegeriales	Kriegeriaceae	Phenoliferia	Phenoliferia_psychrophenolica	Phenoliferia	Undefined
3a198289edec279519dfc1bb045a2e48	Fungi	Ascomycota	Leotiomycetes	Leotiales	Mniaeciaceae	Epithamnolia	Epithamnolia_sp	Epithamnolia	na
e0d093e05672a4ea71c3ff1771b2d662	Fungi	Basidiomycota	Microbotryomycetes	Kriegeriales	Kriegeriaceae	Phenoliferia	Phenoliferia_psychrophenolica	Phenoliferia	Undefined
aa211cb0a1d81fbd887aab293b03318a	Fungi	Ascomycota	Leotiomycetes	Phacidiales	Phacidiaceae	Phacidium	Phacidium_grevilleae	Phacidium	na
93886c2eecb630382894ab0db1bf76aa	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius		Cortinarius	Ectomycorrhizal
20fcbd2acdaf84727fb77cfe2a32411d	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
51efddb5f77cf4269c39fd4c8f1ffcb3	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Septonema	Septonema_fasciculare	Septonema	na
91bcb7ce8b96025e3b15889fede72b0a	Fungi							na	na
35a90bbc5f99a3bd777d79828b75f27b	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Tylosporaceae	Amphinema		Amphinema	Ectomycorrhizal
9c0595407a85656540ceac3c92b45457	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_aeria	Solicoccozyma	Undefined
a760a93058fdc1762c1413dfba22df26	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Entomortierella	Entomortierella_parvispora	Mortierellaceae	Undefined
