OTUID,taxonomy,Comparisons,Count
12410d7307e6e4dbdae768c5c47b748d,k__Fungi; ; ; ; ; ;,SF_v_TP; SJ_v_SF,2
d27b07c3296662644178e00972cf0baa,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora;,SF_v_TP; SJ_v_SF,2
