OTUID	taxonomy
d1373f08777d7fa6e335639018332736	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Lyophyllaceae; g__Lyophyllum; s__Lyophyllum_shimeji
d4d6a24cd0d289b396ca360df2ce852b	k__Fungi; ; ; ; ; 
9038eaddace005315f06a11e8208395a	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Mollisiaceae; g__Phialocephala
a9be740f9f23635163b12125ef8b6584	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholoma; s__Tricholoma_arvernense
c2df0e763dbf08bab3dadd457b52ffd7	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_sp
8f7ab17585355cc5230570ab926e6d0c	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Polyozellus; s__Polyozellus_tristoides
094ae0ced98aea21795c6690986d09ce	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_aurantioflammans
b3c861145b62348cf87d36423f883536	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_lanatum
8ee69fea40362a20da724565d1d9be78	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella
9610076b58ac82ba4aea65bd7b7103a8	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_sp
7555b6a21cc8b38eaa5f7004efd1bcc5	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Polyozellus; s__Polyozellus_sciastrus
c196e0b47ce3e7bf04084024fec1b4b8	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_bicolor
977243d63a85a6e60149492f86387457	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_sp
5532de25e61c58cbb16884aa250d23d6	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_sp
d27b07c3296662644178e00972cf0baa	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora
1247c4d675673c8437b64ed612f18485	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholoma; s__Tricholoma_triste
93c760a207291157f3c0ca60452ce678	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_arenicola
238629631a8e14223055a4823906f8c2	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Polyozellus; s__Polyozellus_sciastrus
daa8bd4768beabfda9c86148e4296258	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_rufoalba
306ea3bb044a77159872abd84951af9b	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora
d426850f69366bc5238d1781fa05f05b	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_catalaunica
356ec0051bb97afe74ee935cd27a1841	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrophorus; s__Hygrophorus_chrysodon
05ea6ae929932e391e3bfb021cdc74cf	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mytilinidiales; f__Mytilinidiaceae; g__Mytilinidion; s__Mytilinidion_sp
153dc5b27a5a247b4cadb978f13dd01e	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrophorus; s__Hygrophorus_camarophyllus
dd20782d3ece0a0e7465579bc722c3a9	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_rufoalba
283bb4bd7843bdf04b06a325bb58a879	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Hydnaceae; g__Clavulina
760437f7b18b6dc956769cb08af655c1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Polyozellus; s__Polyozellus_tristoides
3ea1859fc775a3797e55a6f01f01c8fa	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma
211594eca1eaa7e2516f42094f375c8d	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Mycenaceae; g__Mycena
2be07a8d72925262126f2a02c52dddea	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Exophiala; s__Exophiala_radicis
a2741f8dd74a75f1ebd4e67c372fea60	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Hymenochaetales; f__Rickenellaceae; g__Alloclavaria; s__Alloclavaria_purpurea
b5baacc52a619681e06c69e69c65ad36	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Hydnaceae; g__Hydnum; s__Hydnum_sp
2ebbb93cd560a8656f8407712cec186a	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Pseudosperma; s__Pseudosperma_amabile
72c8401fff71a78b00b765b8085a3667	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; 
e63aaafb62a84a32304c58947ebe2188	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholoma; s__Tricholoma_equestre
88266d6149dd6d1a763f73f159443958	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_sambucella
e10bec8719dea6fa33ca2c8ab9f029a4	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_sp
3734ab0bc28071608fd033fa78e05c86	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Polyozellus; s__Polyozellus_sciastrus
1502fe375e631440bc0b63973ad04541	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_subbrunnea
a79bd0821c137fc82b3db5f258dee31a	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Hydnaceae; g__Sistotrema; s__Sistotrema_sp
cbf9739f92a64c355273156590803813	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Thelephora; s__Thelephora_sp
9d21c33c636f71e6e67655192f3332fd	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hymenogastraceae; g__Hymenogaster; s__Hymenogaster_parksii
6c69d5e2df73810d566e7176c5314f33	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Hydnaceae; g__Sistotrema; s__Sistotrema_sp
942bfd203e353e82ba08a2f62c9e9128	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_sp
137930ef6ea1398a0b09e4a70f53671d	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Cantharellula; s__Cantharellula_sp
f2a3a581cc311bd12fd7e357bad7853b	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Bankeraceae; g__Sarcodon; s__Sarcodon_imbricatus
7eac09f68f4e8758d4765e1f5b4f40a7	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Cantharellula; s__Cantharellula_sp
b593d2d0293b1803c12d12f16f7d31e4	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Mollisiaceae; g__Phialocephala; s__Phialocephala_helvetica
29fc934393b3355a9d9ebe2c42dadac7	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inosperma; s__Inosperma_acutofulvum
7ea35f18052e4148184a0e98bf83f349	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula
a836a90c4400aac9ff60815085f32d70	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_adusta
c12a6dc59d062650dcc4ee26b66cee37	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_cremicolor
d1527a9ea3cfa047b7684ed5070d1da1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Cortinariaceae; g__Cortinarius; s__Cortinarius_clarisordidus
75708fb588c993e9d9e00acd5038314a	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_atroglauca
624bec2a0b59162830713e67ab20df40	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_sp
8d33d45c7bcf602aeb19c8af2edaddef	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella
3b77b01e73c0fb718df5c82f5f039187	k__Fungi; p__Basidiomycota; c__Microbotryomycetes; ; ; 
faf16caccb9b3cbe942a3b04d4934b32	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Hydnaceae; g__Clavulina; s__Clavulina_rugosa
4796785396e1e2fa1537aea38a789247	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe; s__Hygrocybe_conica
